gene,slope_z,r,p,n_cells_expr
ENSG00000006047,-0.011988870798800918,-0.03531060120904788,0.08974869187246841,2310
ENSG00000006059,5.084454434882602e-33,3.6637357584970656e-16,0.9999999999999967,135
ENSG00000006062,-0.017423931472278043,-0.023314988668283305,2.4283216048219735e-15,115284
ENSG00000006071,-0.020097362899195136,-0.05352060696606656,0.0007138830175312191,3995
ENSG00000006116,-0.01257598120992788,-0.018027784389335458,0.570428618410108,993
ENSG00000006118,-0.01229975071135943,-0.022326709267449975,0.009078992398211073,13655
ENSG00000006125,-0.02128396784040756,-0.025081729480622008,2.8590773680150154e-35,244057
ENSG00000006128,-0.021004251668699972,-0.03319819358934157,0.08878231469279192,2629
ENSG00000006194,-0.02300073424887495,-0.031657278878442205,3.116384332669087e-16,66552
ENSG00000006210,-0.0046061093279460815,-0.007466753501015016,0.22885584771892084,25973
ENSG00000006282,-0.01827056920456153,-0.032956909269310455,1.2041185227979551e-11,42298
ENSG00000006283,0.010729607361159238,0.016157372343157256,0.39139938247226325,2816
ENSG00000006327,-0.01182208621359112,-0.017603725051981683,6.560516491307474e-06,65555
ENSG00000006377,-0.015646381247571565,-0.02364071045449147,0.5059279809133215,794
ENSG00000006432,-0.0049552776619958714,-0.007844599864935397,0.09657629289982864,44871
ENSG00000006451,-0.020029366990306947,-0.02967160463985647,1.4901766265130407e-35,175840
ENSG00000006453,-0.0034475627113455874,-0.005568222568387324,0.14605427610204014,68151
ENSG00000006459,-0.01470187827165916,-0.017569917301235728,1.1981137961017413e-14,192846
